x,y,yaw,steering_angle,cmd_vel,actual_vel
-10.354655449337248,8.704589648453588,3.123023015754817,0.01886107213795185,6.0,5.99999986211046
-10.654593452034893,8.710657394180286,3.135480393493459,0.01694849692285061,6.0,5.999999891920767
-10.954570312047466,8.714301573604537,-3.1353771935471495,0.01694849692285061,6.0,5.9999999152863905
-11.254567968585953,8.715107072480006,-3.12359708489011,0.0298323854804039,6.0,5.999999933600606
-11.554557678650285,8.71279937909461,-3.111940853233517,0.0298323854804039,6.0,5.999999947955475
-11.854500942599522,8.707092249278594,-3.098490893737433,0.13183481991291046,6.0,5.999999959206968
-12.15416699525564,8.693351688502865,-3.0437455466230294,0.13183481991291046,6.0,5.999999968026005
-12.4528694433214,8.665872147160153,-2.9516253173559597,0.13183481991291046,6.0,5.999999974938455
-12.749259461796296,8.619873126816614,-2.8475477822048196,0.13183481991291046,6.0,5.999999980356504
-13.040768220493963,8.551414431682863,-2.7389393918817113,0.3404703736305237,4.0,5.90489998383456
-13.309377350026011,8.461649006716655,-2.547274150553847,0.3404703736305237,4.0,5.429399983834558
-13.539506523043642,8.342521446918202,-2.1988597477746645,0.3512054979801178,2.0,4.953899983834556
-13.71510240091638,8.18645367678736,-1.709497204941414,0.3512054979801178,2.0,4.478399983834554
-13.813721398581421,7.992103614549974,-1.2945966387564207,0.14966872334480286,6.0,4.520961140557122
-13.834563053235414,7.759399794717248,-1.2618550643351383,0.14966872334480286,6.0,4.840714202688294
-13.80967410608024,7.512277208101635,-1.2873719382030766,-0.12251747399568558,6.0,5.09133992574416
-13.759592986061525,7.257525318804552,-1.2853587913186761,-0.12251747399568558,6.0,5.287782932852902
-13.69897912440352,6.996072340730199,-1.306514353129668,-0.1218610554933548,6.0,5.44175697259392
-13.638661947712105,6.727544935372082,-1.3664321090016642,-0.1218610554933548,6.0,5.562443401004399
-13.584974874451893,6.452166510420627,-1.436936869121512,-0.12432592362165451,6.0,5.657038658925645
-13.542701289161645,6.17057304607431,-1.507985713327214,-0.12432592362165451,6.0,5.731183390351056
-13.515014896351207,5.883873548284547,-1.576888844975413,-0.07665959000587463,6.0,5.789298789779674
-13.502565199020715,5.593526997535738,-1.6334868947339365,-0.07665959000587463,6.0,5.834850234714711
-13.505588863124654,5.3009062747603855,-1.6841703960617496,-0.012693634256720543,6.0,5.870553923514413
-13.521680349901525,5.007109569886176,-1.7132563774894145,-0.012693634256720543,6.0,5.898538840254682
-13.547887442298924,4.712788332026134,-1.7248396028835338,0.0322067029774189,6.0,5.92047370444626
